x_1,t_eng_1,t_fil_1,x_2,t_eng_2,t_fil_2,label,bisim,editex,editex_separate_substitutions,editex_separate_insertions,editex_separate_deletions,lcsubstring,lcsuf,levenshtein,levenshtein_consonant,levenshtein_separate_substitutions,levenshtein_separate_insertions,levenshtein_separate_deletions,prefix,visual_weighted,visual_weighted_separate_substitutions,visual_weighted_separate_insertions,visual_weighted_separate_deletions,aline_eng_kondrak_eng,aline_eng_kondrak_fil,aline_ph_mc_eng,aline_ph_mc_fil,len_diff,common_prefix_len,common_suffix_len,consonant_count_diff,syllable_diff,syllable_count_diff,vowel_count_diff,fil_vowel_skeleton_match,fil_penult_vowel_match,fil_onset_match,fil_coda_match,fil_phonetic_equal,n_marked,english_prominence_match
kay ciel,keɪ siːl,kajsjel,kayexalate,keɪɪksæleɪt,kajeksalate,1,0.3,0.6333333,4,3,0,0.3,0.0,0.3,0.39999998,5,2,0,0.3,0.64705884,3,3,0,0.56153846,0.519403,0.54615384,0.44179106,2,3,0,1,3,0,2,1,1,1,0,0,0,1
hydrochlorothiazide,haɪdɹəkloːɹoʊθɪeɪzaɪd,hjdɾoʧloɾothiʔazide,valsartan hydrochlorothiazide,vælsɑːɹtən haɪdɹəkloːɹoʊθɪeɪzaɪd,valsaɾtanhjdɾoʧloɾothiʔazide,0,0.62068963,0.79545456,0,9,0,0.6551724,0.6551724,0.6551724,0.6315789,0,10,0,0.0,0.8064516,0,9,0,0.6742857,0.6761364,0.6742857,0.6761364,10,0,19,6,3,3,3,0,1,0,1,0,2,1
hydrogesic,haɪdɹoʊdʒzɪk,hjdɾogesik,hydroxyzine,haɪdɹɑːksɪziːn,hjdɾoksjzine,1,0.45454547,0.8,4,1,0,0.45454547,0.0,0.5454545,0.5,4,1,0,0.45454547,0.7619048,4,1,0,0.7608108,0.5769231,0.6256757,0.5769231,1,5,0,1,0,0,0,0,0,1,0,0,1,0
miralax,mɜːɹɐlæks,miɾalaks,mirapex,mɜːɹeɪpɛks,miɾapeks,1,0.5714286,0.89285713,2,0,0,0.5714286,0.14285715,0.71428573,0.75,2,0,0,0.5714286,0.85714287,2,0,0,0.7909091,0.836,0.6309091,0.732,0,4,1,0,0,0,0,0,0,1,1,0,0,1
cetirizine,sɛɾɪɹɪziːn,ketiɾizine,sertraline,sɜːtɹəlaɪn,seɾtɾaline,1,0.2,0.8,5,0,0,0.3,0.3,0.5,0.5,5,0,0,0.0,0.74358976,5,0,0,0.74545455,0.6935484,0.5854545,0.62580645,0,0,3,1,1,1,1,0,1,1,1,0,0,1
asacol,ɐsækɑːl,ʔasakol,os cal,oʊɛs kæl,ʔoskal,1,0.0,0.8095238,2,0,1,0.16666667,0.16666667,0.5,0.75,3,0,0,0.0,0.72727275,2,0,1,0.7268293,0.8,0.45365855,0.5767442,0,0,1,0,1,1,1,0,0,0,1,0,1,0
riboflavin,ɹɪbəflævɪn,ɾiboflavjn,griseofulvin,gɹaɪsəfʌlvɪn,gɾiseofulvjn,0,0.33333334,0.76744187,3,2,0,0.25,0.25,0.5833334,0.71428573,3,2,0,0.0,0.77272725,3,2,0,0.6918919,0.69078946,0.6391892,0.69078946,2,0,3,1,0,1,1,0,0,0,1,0,0,1
sumatriptan,suːmɐtɹɪptən,sumatɾiptan,zolmitriptan,zɑːlmɪtɹɪptən,zolmitɾiptan,1,0.5,0.8913044,3,1,0,0.5833333,0.5833333,0.6666666,0.75,3,1,0,0.0,0.82608694,3,1,0,0.8618421,0.8684211,0.7434211,0.8,1,0,7,1,0,0,0,0,1,0,1,0,0,1
sudafed 12 hour,suːdeɪft twɛlv aʊɚ,sudafed12houɾ,sudafed 12 hour pressure pain,suːdeɪft twɛlv aʊɚ pɹɛʃɚ peɪn,sudafed12houɾpɾesjuɾepaʔin,1,0.51724136,0.6612903,1,12,0,0.51724136,0.0,0.51724136,0.5263158,0,14,0,0.51724136,0.64705884,0,12,0,0.6232877,0.4527027,0.6232877,0.4527027,14,15,0,7,4,4,5,0,1,1,0,0,0,0
lantus,læntəs,lantus,latuda,lætuːdə,latuda,1,0.5,0.75,1,1,1,0.33333334,0.0,0.5,0.5,1,1,1,0.33333334,0.75,1,1,1,0.68157893,0.69736844,0.6184211,0.6868421,0,2,0,1,1,1,1,0,1,1,0,0,1,1
clonidine,klɑːnɪdiːn,klonidine,colonaid,kɑːləneɪd,kolonajd,0,0.44444445,0.72727275,2,1,2,0.33333334,0.0,0.44444442,0.8,2,1,2,0.11111111,0.7058823,2,1,2,0.754,0.6181818,0.714,0.5418182,1,1,0,1,1,0,0,0,0,1,0,0,0,1
ceftazidime,sɛftɐzɪdaɪm,keftasidime,ceftriaxone,sɛftɹɪæksoʊn,keftɾiʔaksone,1,0.36363637,0.7906977,6,0,0,0.36363637,0.09090909,0.45454544,0.5,6,0,0,0.36363637,0.7380952,6,0,0,0.7189189,0.6419753,0.6486486,0.5691358,0,4,1,0,1,0,0,0,0,1,0,0,0,1
flumazenil,fluːmeɪznɪl,flumaʔzenil,influenza virus vaccine,ɪnfluːɛnzə vaɪɹəs væksiːn,ʔinflujsaviɾusvakʔineʔ,1,0.13043478,0.55,5,11,0,0.13043478,0.0,0.21739131,0.21428573,5,13,0,0.0,0.4918033,5,11,0,0.3627907,0.27246377,0.28139535,0.25797102,13,0,0,6,4,4,5,0,0,0,0,0,0,1
avandia,ævændiə,ʔavandia,vaniqa,vænɪkə,vaniʔka,0,0.2857143,0.76,2,0,1,0.42857143,0.14285715,0.57142854,0.6666666,2,0,1,0.0,0.7692308,2,0,1,0.6780488,0.5416667,0.6195122,0.47916666,1,0,1,0,0,1,1,0,1,0,0,0,0,1
clindesse,klɪndɛs,klindesse,scenesse,siːnɛs,skjse,0,0.33333334,0.8064516,3,0,1,0.44444445,0.44444445,0.5555556,0.5,3,0,1,0.0,0.78787875,1,1,2,0.52,0.29473683,0.4977778,0.29473683,1,0,4,1,0,1,0,0,1,0,1,0,0,1
lotronex,lɑːtɹoʊnɛks,lotɾoneks,lotemax,loʊtmæks,lotemaks,0,0.375,0.8333333,3,0,1,0.375,0.125,0.5,0.6,3,0,1,0.375,0.76666665,3,0,1,0.62903225,0.80701756,0.61612904,0.722807,1,3,1,1,0,0,0,0,1,1,1,0,1,0
anacin,ænɐsɪn,ʔanasjn,anacin 3,ænɐsɪn θɹiː,ʔanasjn3,1,0.75,1.0,0,0,0,0.75,0.0,0.75,0.6,0,2,0,0.75,1.0,0,0,0,0.6545454,1.0,0.6545454,1.0,2,6,0,0,0,0,0,1,1,1,1,1,0,1
tenex,tɛnɛks,teneks,xanax,zænæks,ksanaʔks,1,0.0,0.8,3,0,0,0.2,0.2,0.39999998,0.6666666,3,0,0,0.0,0.7,3,0,0,0.93421054,0.66346157,0.92368424,0.45576924,0,0,1,0,0,0,0,0,0,0,1,0,2,1
avandia,ævændiə,ʔavandia,prandin,pɹændɪn,pɾandin,1,0.42857143,0.7777778,3,0,0,0.5714286,0.0,0.57142854,0.39999998,3,0,0,0.0,0.78571427,3,0,0,0.65555555,0.62916666,0.5911111,0.5875,0,0,0,2,1,2,2,0,0,0,0,0,0,0
novolog innolet,nɑːvəlɑːg ɪnnɑːlɪt,novologʔinnolet,novolog penfill,nɑːvəlɑːg pɛnfɪl,novologpenfilj,0,0.53333336,0.8148148,4,1,1,0.53333336,0.0,0.6,0.7,6,0,0,0.53333336,0.78846157,6,0,0,0.75116277,0.7096774,0.69418603,0.6892473,0,8,0,1,1,1,1,1,1,1,0,0,1,1
nystatin,nɪstɐtɪn,njstatin,bysanti,baɪsænti,bjsantiʔ,0,0.25,0.73333335,3,0,1,0.25,0.0,0.5,0.5,3,0,1,0.0,0.73333335,3,0,1,0.618,0.60192305,0.504,0.60192305,1,0,0,1,0,0,0,1,1,0,0,0,0,1
ambien,æmbiən,ʔambjen,ambrisentan,æmbɹɪsɛntən,ʔambɾisentan,1,0.36363637,0.6969697,0,5,0,0.27272728,0.09090909,0.5454545,0.4285714,0,5,0,0.27272728,0.7058823,0,5,0,0.4594203,0.5171053,0.40869564,0.5171053,5,3,1,4,2,1,1,0,1,1,1,0,0,1
memantine,mɛmɐntiːn,memantine,methadone,mɛθɐdoʊn,methadone,1,0.33333334,0.8,5,0,0,0.22222222,0.22222222,0.44444442,0.39999998,5,0,0,0.22222222,0.75,3,1,1,0.662,0.6545454,0.622,0.64363635,0,2,2,0,0,0,0,0,1,1,1,0,0,1
fentanyl,fɛntɐnaɪl,fentanjl,eutonyl,juːtənaɪl,ʔewtonjl,0,0.25,0.8275862,2,0,1,0.375,0.375,0.625,0.6666666,2,0,1,0.0,0.8,2,0,1,0.7218182,0.6730769,0.66727275,0.5884615,1,0,3,2,0,0,1,0,0,0,1,0,0,1
lunesta,lʌnɛstə,lunesta,glumetza,gluːmɛtsə,glumetsa,0,0.125,0.76666665,3,1,0,0.25,0.125,0.5,0.19999999,3,1,0,0.0,0.76666665,3,1,0,0.768,0.776,0.74,0.768,1,0,1,1,0,0,0,1,1,0,1,0,0,1
reminyl,ɹɪmɪnaɪl,ɾeminjl,bricanyl,bɹɪkɐnaɪl,bɾikanjl,0,0.25,0.8,3,1,0,0.375,0.375,0.5,0.6666666,3,1,0,0.0,0.73333335,3,1,0,0.7218182,0.7076923,0.6309091,0.6076923,1,0,3,1,0,0,0,0,0,0,1,0,1,0
allegra,ɐlɛgɹə,ʔallegɾa,viagra,vaɪægɹə,vjagɾa,1,0.2857143,0.75,3,0,1,0.42857143,0.42857143,0.4285714,0.5,3,0,1,0.0,0.76,3,0,1,0.7,0.59,0.70487803,0.486,1,0,3,1,1,0,0,0,0,0,0,0,0,1
misoprostol,mɪsɑːpɹɑːstəl,misopɾostol,carisoprodol,kæɹɪsɑːpɹədɑːl,kaɾisopɾodol,0,0.5,0.8043478,2,2,1,0.5,0.16666667,0.5833334,0.4285714,2,2,1,0.0,0.7826087,2,2,1,0.71756756,0.722973,0.6581081,0.71756756,1,0,2,0,1,1,1,0,1,0,1,0,0,1
inspra,ɪnspɹɑː,ʔinspɾa,spiriva,spɪɹɪvə,spiɾiva,1,0.14285715,0.6153846,0,3,2,0.2857143,0.14285715,0.28571427,0.5,0,3,2,0.0,0.6153846,0,3,2,0.5511628,0.53333336,0.44186047,0.44444445,1,0,1,0,1,1,1,0,1,0,0,0,0,1
prazepam,pɹeɪzpæm,pɾasepam,temazepam,tɛmeɪzpæm,temasepam,0,0.5555556,0.8235294,2,1,0,0.6666667,0.6666667,0.6666666,0.6,2,1,0,0.0,0.8235294,2,1,0,0.7218182,0.69272727,0.7290909,0.7,1,0,6,0,1,1,1,0,1,0,1,0,1,0
renografin 60,ɹɪnɑːgɹɐfɪn sɪksti,ɾenogɾafin60,sinografin,sɪnəgɹæfɪn,sinogɾafin,0,0.53846157,0.925,2,0,0,0.61538464,0.0,0.6153846,0.5555556,2,0,3,0.0,0.9,2,0,0,0.581,0.9516129,0.511,0.9354839,3,0,0,0,0,0,0,0,0,0,0,0,1,0
effexor,ɛfɛksɚ,ʔeffeksoɾ,effexor xr,ɛfɛksɚɹ ɛksɑːɹ,ʔeffeksoɾksɾ,1,0.7,0.8666667,0,2,0,0.7,0.1,0.7,0.57142854,0,3,0,0.7,0.8666667,0,2,0,0.4864865,0.7307692,0.4864865,0.7307692,3,7,1,2,0,1,0,0,0,1,1,0,0,1
visicol,vɪsɪkɑːl,vikol,vaprisol,væpɹɪzɑːl,vapɾisol,0,0.375,0.8,3,1,0,0.25,0.25,0.5,0.39999998,3,1,0,0.125,0.73333335,3,1,0,0.684,0.494,0.684,0.494,1,1,2,1,0,0,0,0,1,1,1,0,0,1
restoril,ɹɪstoːɹəl,ɾestoɾil,crestor,kɹɛstɚ,kɾestoɾ,0,0.625,0.8,0,1,2,0.75,0.0,0.625,0.6,0,1,2,0.0,0.8275862,0,1,2,0.566,0.76,0.566,0.76,1,0,0,0,1,1,1,0,1,0,0,0,1,1
tacrolimus,tækɹəlɪməs,takɾolimus,tamsulosin,tæmsuːlɑːsɪn,tamsulosin,1,0.2,0.725,7,0,0,0.2,0.0,0.3,0.3333333,7,0,0,0.2,0.64102566,7,0,0,0.566129,0.5645161,0.516129,0.5435484,0,2,0,0,0,0,0,0,0,1,0,0,0,1
adderall,ædɚɹɔːl,ʔadɾol,adderall xr,ædɚɹɔːl ɛksɑːɹ,ʔadɾolksɾ,1,0.72727275,0.875,1,2,0,0.72727275,0.0,0.72727275,0.625,0,3,0,0.72727275,0.875,0,2,0,0.53731346,0.6440678,0.53731346,0.6440678,3,8,0,2,0,1,0,0,0,1,0,0,0,1
zemplar,zɛmplɚ,zemplaɾ,zemuron,ziːmjʊɹɹən,zemuɾon,1,0.42857143,0.78571427,4,0,0,0.42857143,0.0,0.4285714,0.39999998,4,0,0,0.42857143,0.71428573,4,0,0,0.43157893,0.5822222,0.38947368,0.4977778,0,3,0,1,1,1,1,0,1,1,0,0,0,0
doxorubicin hydrochloride liposomal,dɑːksoːɹuːbɪsɪn haɪdɹəkloːɹaɪd lɪpəsɑːməl,doksoɾubjsjnhjdɾoʧloɾideliposomal,epirubicin hydrochloride,ɛpɪɹuːbɪsɪn haɪdɹəkloːɹaɪd,ʔepiɾubjsjnhjdɾoʧloɾide,0,0.5714286,0.78181815,3,0,10,0.6,0.0,0.6,0.6363636,3,0,11,0.0,0.7706422,3,0,10,0.6442308,0.6435407,0.6278846,0.638756,11,0,0,6,4,6,4,0,1,0,0,0,0,1
albendazole,ælbəndæzoʊl,ʔalbendasole,pediazole,pɛdɪæzoʊl,pediasole,0,0.36363637,0.7692308,3,0,2,0.45454547,0.45454547,0.5454545,0.5,3,0,2,0.0,0.75,3,0,2,0.6970149,0.6351351,0.6522388,0.5810811,2,0,5,2,1,1,0,0,1,0,1,0,0,1
achromycin,ækɹoʊmaɪsɪn,ʔaʧɾomjsjn,rondomycin,ɹɑːndəmaɪsɪn,ɾondomjsjn,0,0.6,0.8,4,0,0,0.6,0.6,0.6,0.57142854,4,0,0,0.0,0.825,4,0,0,0.73731345,0.7257576,0.5970149,0.6530303,0,0,6,0,0,0,0,0,1,0,1,0,0,1
clobazam,kloʊbɐzæm,klobasam,cotazym,kɑːɾeɪzɪm,kotasjm,0,0.25,0.8333333,2,0,1,0.25,0.125,0.625,0.39999998,2,0,1,0.125,0.8,2,0,1,0.71090907,0.596,0.59818184,0.604,1,1,1,0,1,0,1,0,0,1,1,0,0,1
cetirizine,sɛɾɪɹɪziːn,ketiɾizine,stavudine,stævjuːdiːn,stavudine,1,0.2,0.7631579,5,0,1,0.3,0.3,0.39999998,0.39999998,5,0,1,0.0,0.68421054,5,0,1,0.74210525,0.74,0.7105263,0.66333336,1,0,3,0,1,1,1,0,0,1,1,0,0,1
neupogen,nuːpədʒən,neupogen,femogen,fɛmədʒən,femogen,0,0.375,0.8275862,2,0,1,0.5,0.5,0.625,0.5,2,0,1,0.0,0.8,2,0,1,0.744,0.67083335,0.726,0.65208334,1,0,4,0,0,0,1,0,1,0,1,0,0,1
betapace,beɪɾəpeɪs,betapakeʔ,butapap,bjuːɾɐpæp,butapap,0,0.5,0.8333333,2,0,1,0.5,0.0,0.625,0.75,2,0,1,0.125,0.8,2,0,1,0.76792455,0.7090909,0.69245285,0.6909091,1,1,0,0,1,0,1,0,1,1,0,0,0,1
methadone,mɛθɐdoʊn,methadone,metastron,mɛɾəstɹən,metastɾon,0,0.44444445,0.7714286,3,1,1,0.33333334,0.0,0.44444442,0.5,3,1,1,0.33333334,0.7222222,3,1,1,0.64736843,0.65789473,0.5,0.6508772,0,3,0,1,1,0,1,1,1,1,1,0,0,1
hydroxychloroquine,haɪdɹɑːksɪkloːɹoʊkwaɪn,hjdɾoksjʧloɾokine,hydroxyurea,haɪdɹɑːksɪjuːɹiə,hjdɾoksjuɾea,1,0.3888889,0.6981132,3,0,7,0.3888889,0.0,0.44444442,0.5833334,3,0,7,0.3888889,0.6551724,3,0,7,0.63442624,0.63486236,0.5934426,0.59816515,7,7,0,5,2,1,2,0,0,1,0,0,1,0
rabeprazole,ɹeɪbpɹɐzoʊl,ɾabepɾasole,aspirin omeprazole,æspɹɪn oʊmpɹɐzoʊl,ʔaspiɾinʔomepɾasole,0,0.3888889,0.73214287,2,6,0,0.44444445,0.44444445,0.5,0.5,2,7,0,0.0,0.71428573,2,6,0,0.627551,0.4871795,0.627551,0.45128205,7,0,8,3,3,3,3,0,0,0,1,0,0,1
alkeran,ælkɚɹən,ʔalkeɾan,leukeran,luːkɚɹən,leukeɾan,1,0.5,0.8275862,2,1,0,0.625,0.625,0.625,1.0,2,1,0,0.0,0.8,2,1,0,0.8372093,0.704,0.8372093,0.68,1,0,5,0,0,0,1,0,1,0,1,0,0,1
tresiba,tɹɛzɪbə,tɾesiba,cresemba,kɹɛsɛmbə,kɾesembaʔ,0,0.375,0.8333333,2,1,0,0.375,0.25,0.625,0.6,2,1,0,0.0,0.8,2,1,0,0.758,0.68421054,0.75,0.65964913,1,0,2,1,0,0,0,1,1,0,1,0,0,0
zocor,zɑːkɚ,zokoɾ,zyrtec,zɪətɛk,zjɾtek,1,0.16666667,0.6363636,4,1,0,0.16666667,0.0,0.16666669,0.39999998,4,1,0,0.16666667,0.5454545,4,1,0,0.59166664,0.3925,0.42222223,0.3825,1,1,0,2,1,0,1,0,0,1,0,0,1,0
normodyne,noːɹmədaɪn,noɾmodjne,normozide,noːɹməzaɪd,noɾmozide,0,0.5555556,0.8611111,3,0,0,0.5555556,0.11111111,0.6666666,0.5,3,0,0,0.5555556,0.8333333,3,0,0,0.9,0.7157895,0.89272726,0.70877194,0,5,1,1,1,0,1,0,1,1,0,0,0,1
kayexalate,keɪɪksæleɪt,kajeksalate,aerolate,ɛɹoʊleɪt,ʔaeɾolate,0,0.3,0.8181818,2,0,2,0.4,0.4,0.6,0.39999998,2,0,2,0.0,0.7777778,2,0,2,0.58,0.6149254,0.58,0.5432836,2,0,4,2,1,0,0,0,0,0,1,0,0,1
occlusal hp,əkluːzəl eɪtʃpiː,ʔoklusalhp,ocuflox,ɑːkəflɑːks,ʔokufloks,1,0.18181819,0.6969697,3,0,3,0.18181819,0.0,0.36363637,0.25,3,0,4,0.18181819,0.64705884,3,0,3,0.5303798,0.578125,0.3607595,0.578125,4,2,0,3,0,0,0,0,1,1,0,0,0,1
sandimmune,sændɪmjuːn,sandimmune,sandostatin,sændəstætɪn,sandostatin,1,0.36363637,0.73170733,6,1,0,0.36363637,0.0,0.36363637,0.57142854,6,1,0,0.36363637,0.65853655,6,1,0,0.5768116,0.60144925,0.51884055,0.56231886,1,4,0,1,0,1,0,0,0,1,1,0,0,1
lunesta,lʌnɛstə,lunesta,neulasta,nuːlæstə,neulasta,1,0.375,0.7586207,3,1,0,0.375,0.375,0.5,0.5,3,1,0,0.0,0.73333335,3,1,0,0.627907,0.5875,0.627907,0.56666666,1,0,3,0,0,0,1,0,0,0,1,0,0,1
advair,ɐdvɛɹ,ʔadvajɾ,advicor,ɐdvɪkɚ,ʔadvjsoɾ,1,0.42857143,0.84000003,2,1,0,0.42857143,0.14285715,0.57142854,0.75,2,1,0,0.42857143,0.7692308,2,1,0,0.6638889,0.6730769,0.6638889,0.6730769,1,3,1,1,1,1,0,0,1,1,1,0,1,0
activase,æktɪveɪs,ʔaktivase,noctiva,nɑːktɪvə,noktiva,0,0.5,0.76666665,1,1,2,0.625,0.0,0.5,0.5,1,1,2,0.0,0.73333335,1,1,2,0.77708334,0.64,0.57916665,0.56363636,1,0,0,0,1,0,1,0,1,0,0,0,0,1
pralidoxime,pɹælɪdɑːksaɪm,pɾalidoksime,pyridoxine,pɪɹɪdɑːksaɪn,pjɾidoksʔineʔ,1,0.45454547,0.88095236,3,0,1,0.45454547,0.09090909,0.6363636,0.5,3,0,1,0.09090909,0.8292683,3,0,1,0.8337838,0.7180723,0.8391892,0.72289157,1,1,1,0,1,0,1,1,1,1,0,0,0,1
normodyne,noːɹmədaɪn,noɾmodjne,norpramin,noːɹpɹɐmɪn,noɾpɾamin,1,0.33333334,0.7222222,4,1,1,0.33333334,0.0,0.3333333,0.5,6,0,0,0.33333334,0.6666666,6,0,0,0.69649124,0.5947368,0.6421053,0.59122807,0,3,0,0,0,0,0,0,0,1,1,0,0,1
folic acid,fɑːlɪk æsɪd,folikʔasid,folinic acid,fəlɪnɪk æsɪd,folinikʔasid,1,0.8333333,0.9,0,2,0,0.5833333,0.5833333,0.8333333,0.85714287,0,2,0,0.33333334,0.92105263,0,2,0,0.75820893,0.7837838,0.7283582,0.7837838,2,4,7,1,1,1,1,0,1,1,1,0,2,1
celebrex,sɛlɪbɹɛks,kelebɾeks,clobex,kloʊbɛks,klobeks,0,0.25,0.82142854,1,0,2,0.25,0.25,0.625,0.8,1,0,2,0.125,0.78571427,1,0,2,0.66842103,0.70526314,0.66842103,0.70526314,2,1,2,1,1,1,1,0,1,0,1,0,1,0
latanoprost,lætɐnɑːpɹɑːst,latanopɾost,travoprost,tɹævəpɹɑːst,tɾavopɾost,0,0.45454547,0.8095238,3,0,1,0.54545456,0.54545456,0.6363636,0.57142854,3,0,1,0.0,0.8095238,3,0,1,0.7,0.7057971,0.6681159,0.7115942,1,0,6,0,1,1,1,0,1,0,1,0,0,1
celexa,sɛlɛksə,kʔelksaʔ,zyprexa,zɪpɹɛksə,zjpɾeksaʔ,1,0.2857143,0.8076923,3,1,0,0.42857143,0.42857143,0.4285714,0.19999999,3,1,0,0.0,0.6923077,3,1,0,0.758,0.49661016,0.758,0.49661016,1,0,3,2,1,0,1,1,1,0,1,0,0,1
toujeo,taʊdʒɪoʊ,toʔuʤeo,tradjenta,tɹædʒɛntə,tɾadʤenta,1,0.22222222,0.64285713,3,3,0,0.22222222,0.0,0.3333333,0.3333333,3,3,0,0.11111111,0.6,3,3,0,0.5596491,0.35789475,0.47894737,0.26666668,3,1,0,4,1,1,1,0,0,1,0,0,0,0
navane,næveɪn,navaneʔ,norvasc,noːɹvæsk,noɾvk,1,0.2857143,0.72,3,1,0,0.2857143,0.0,0.4285714,0.39999998,3,1,0,0.14285715,0.6923077,3,1,0,0.54,0.40465117,0.5311111,0.29302326,1,1,0,2,1,0,1,0,0,1,0,0,1,1
gabapentin,gæbeɪpɛntɪn,gabapentin,cogentin,koʊdʒəntɪn,kogentin,0,0.4,0.75,3,0,2,0.5,0.5,0.5,0.5,3,0,2,0.0,0.75,3,0,2,0.70597017,0.66129035,0.6671642,0.58387095,2,0,5,1,1,1,1,0,1,0,1,0,0,0
neratinib,nɛɹɐtɪnɪb,neɾatinib,niraparib,nɜːɹɐpæɹɪb,niɾapaɾib,1,0.33333334,0.8333333,4,0,0,0.22222222,0.22222222,0.5555556,0.6,4,0,0,0.11111111,0.7777778,4,0,0,0.8272727,0.84181815,0.8272727,0.74727273,0,1,2,0,0,0,0,0,0,1,1,0,0,1
metoprolol succinate,mɛɾəpɹɑːlɑːl səksɪneɪt,metopɾololsukjnate,metoprolol tartrate,mɛɾəpɹɑːlɑːl tɑːɹtɹeɪt,metopɾololtaɾtɾate,1,0.65,0.8630137,5,0,1,0.55,0.15,0.7,0.6666666,5,0,1,0.55,0.8378378,5,0,1,0.817094,0.84821427,0.7931624,0.80714285,1,11,3,0,1,1,1,0,0,1,1,0,0,0
darvon compound,dɑːɹvɑːn kɑːmpaʊnd,daɾvonko³³pɔ⁴¹und,darvon w asa,dɑːɹvɑːn dʌbəljuː ɐsæ,daɾvonwʔasa,0,0.46666667,0.7173913,4,0,4,0.46666667,0.0,0.46666664,0.5,5,0,3,0.46666667,0.6666666,4,0,4,0.61938775,0.6530864,0.49693877,0.52716047,3,7,0,3,0,0,1,0,0,1,0,0,0,0
abelcet,eɪbəlsɪt,ʔabelket,amphotericin b,æmfoʊtɹɪsɪn biː,ʔamphoteɾajsjnb,1,0.071428575,0.5897436,4,6,0,0.071428575,0.0,0.21428573,0.111111104,4,7,0,0.071428575,0.525,4,6,0,0.38734177,0.31443298,0.378481,0.28762886,7,1,0,4,2,2,2,0,1,0,0,0,0,1
argatroban,ɑːɹgɐtɹɑːbən,ʔaɾgatɾoban,natroba,nætɹoʊbə,natɾoba,0,0.5,0.7647059,1,0,3,0.6,0.0,0.6,0.5,1,0,3,0.0,0.7647059,1,0,3,0.61290324,0.5362319,0.38709676,0.5304348,3,0,0,2,1,1,1,0,0,0,0,0,1,0
healon,hiːlɑːn,healon,halcion,hælʃən,halsjon,0,0.42857143,0.77272725,0,2,1,0.2857143,0.2857143,0.57142854,0.75,0,2,1,0.14285715,0.7692308,0,2,1,0.75789475,0.64444447,0.6789474,0.5555556,1,1,2,1,0,1,0,0,0,1,1,0,2,1
zyrtec,zɪətɛk,zjɾtek,zyrtec d,zɪətɛk diː,zjɾtekd,1,0.75,0.9230769,0,1,0,0.75,0.0,0.75,0.71428573,0,2,0,0.75,0.9230769,0,1,0,0.75,0.85106385,0.75,0.85106385,2,6,0,1,0,0,0,1,1,1,0,0,0,1
dimenhydrinate,daɪmənhaɪdɹɪneɪt,dimenhjdɾinate,diphenhydramine,dɪfənhaɪdɹɐmiːn,diphenhjdɾamine,1,0.53333336,0.8363637,5,1,0,0.4,0.06666667,0.6,0.6,5,1,0,0.13333334,0.82142854,5,1,0,0.79791665,0.7873684,0.68854165,0.7031579,1,2,1,1,0,0,0,0,0,1,0,0,0,1
desmopressin,dɛzməpɹɛsɪn,desmosin,vasopressin,væsəpɹɛsɪn,vsin,1,0.5833333,0.8863636,2,0,1,0.6666667,0.6666667,0.75,0.75,2,0,1,0.0,0.86956525,2,0,1,0.82173914,0.404,0.8275362,0.404,1,0,8,1,0,0,0,0,1,0,1,0,0,1
doxorubicin liposomal,dɑːksoːɹuːbɪsɪn lɪpəsɑːməl,doksoɾubjsjnliposomal,doxorubicin hydrochloride liposomal,dɑːksoːɹuːbɪsɪn haɪdɹəkloːɹaɪd lɪpəsɑːməl,doksoɾubjsjnhjdɾoʧloɾideliposomal,0,0.6,0.7619048,0,13,0,0.34285715,0.2857143,0.6,0.5454545,0,14,0,0.34285715,0.7669903,0,13,0,0.5139423,0.5248804,0.49519232,0.5215311,14,12,10,9,4,6,4,0,1,1,1,0,0,1
bayhep b,beɪhɛp biː,bajhepb,bayrho d,beɪrhoʊ diː,bajɾhoʔd,1,0.375,0.72727275,2,1,1,0.375,0.0,0.5,0.5,4,0,0,0.375,0.75,4,0,0,0.7169811,0.6942308,0.73207545,0.7019231,0,3,0,0,0,0,0,0,1,1,0,0,0,1
hydrochlorothiazide,haɪdɹəkloːɹoʊθɪeɪzaɪd,hjdɾoʧloɾothiʔazide,hydroxyzine,haɪdɹɑːksɪziːn,hjdɾoksjzine,1,0.31578946,0.66071427,3,0,8,0.2631579,0.05263158,0.42105263,0.4166667,3,0,8,0.2631579,0.6333333,3,0,8,0.5186441,0.4579832,0.4779661,0.44117647,8,5,1,4,3,3,4,0,1,1,0,0,1,0
paxil,pæksɪl,paksil,taxol,tæksɑːl,taksol,1,0.2,0.85,2,0,0,0.4,0.2,0.6,0.6666666,2,0,0,0.0,0.78947365,2,0,0,0.9605263,0.94736844,0.83947366,0.93157893,0,0,1,0,0,0,0,0,1,0,1,0,0,1
plavix,plævɪks,plavjks,pradaxa,pɹædæksə,pɾadaksaʔ,1,0.14285715,0.7692308,3,1,0,0.14285715,0.0,0.4285714,0.5,3,1,0,0.14285715,0.6923077,3,1,0,0.812,0.5473684,0.82,0.55438596,1,1,0,0,1,1,1,0,0,1,0,0,1,0
