x_1,t_eng_1,t_fil_1,x_2,t_eng_2,t_fil_2,label,bisim,editex,editex_separate_substitutions,editex_separate_insertions,editex_separate_deletions,lcsubstring,lcsuf,levenshtein,levenshtein_consonant,levenshtein_separate_substitutions,levenshtein_separate_insertions,levenshtein_separate_deletions,prefix,visual_weighted,visual_weighted_separate_substitutions,visual_weighted_separate_insertions,visual_weighted_separate_deletions,aline_eng_kondrak_eng,aline_eng_kondrak_fil,aline_ph_mc_eng,aline_ph_mc_fil,len_diff,common_prefix_len,common_suffix_len,consonant_count_diff,syllable_diff,syllable_count_diff,vowel_count_diff,fil_vowel_skeleton_match,fil_penult_vowel_match,fil_onset_match,fil_coda_match,fil_phonetic_equal,n_marked,english_prominence_match
doxorubicin liposomal,dɑːksoːɹuːbɪsɪn lɪpəsɑːməl,doksoɾubjsjnliposomal,doxil liposomal,dɑːksɪl lɪpəsɑːməl,doksilliposomal,0,0.5714286,0.7910448,1,0,6,0.47619048,0.47619048,0.6666666,0.6666666,1,0,6,0.14285715,0.796875,1,0,6,0.60697675,0.5842105,0.60697675,0.57894737,6,3,10,3,3,3,3,0,1,1,1,0,0,1
pamelor,peɪmlɚ,pameloɾ,tambocor,tæmbɑːkɚ,tambokoɾ,1,0.25,0.76666665,3,1,0,0.25,0.25,0.5,0.39999998,3,1,0,0.0,0.73333335,3,1,0,0.51860464,0.6,0.48604652,0.608,1,0,2,1,0,0,0,0,0,0,1,0,0,0
tacrolimus,tækɹəlɪməs,takɾolimus,tracrium,tɹækɹiəm,tɾakɾjum,0,0.3,0.71428573,1,1,3,0.3,0.0,0.5,0.5,1,1,3,0.1,0.71428573,1,1,3,0.62419355,0.5967742,0.5435484,0.5967742,2,1,0,1,2,1,1,0,1,1,0,0,0,1
duzallo,duːzæloʊ,dusoloʔ,dycill,daɪsɪl,silj,0,0.2857143,0.7916667,3,0,1,0.2857143,0.0,0.4285714,0.6,3,0,1,0.14285715,0.6521739,3,0,1,0.7414634,0.4232558,0.6390244,0.4,1,1,0,1,2,1,2,0,0,1,0,0,1,1
alogliptin and metformin hydrochloride,ɐlɑːglɪptɪn ænd mɛtfoːɹmɪn haɪdɹəkloːɹaɪd,ʔalogliptinʔandmetfoɾminhjdɾoʧloɾide,dutasteride and tamsulosin hydrochloride,duːɾeɪstɹaɪd ænd tæmsuːlɑːsɪn haɪdɹəkloːɹaɪd,dutasteɾideʔandtamsulosinhjdɾoʧloɾide,0,0.475,0.7714286,14,3,1,0.4,0.4,0.575,0.5769231,13,3,1,0.0,0.75714284,13,3,1,0.72378856,0.6939394,0.7013216,0.67142856,2,0,16,0,2,2,2,0,1,0,1,0,0,1
loxitane,lɑːksɪteɪn,loksitaneʔ,lithane,lɪθeɪn,lithane,0,0.5,0.79310346,3,0,1,0.375,0.375,0.625,0.5,0,1,2,0.125,0.79310346,0,1,2,0.6036364,0.5032258,0.5272727,0.46774194,1,1,3,0,1,1,1,0,1,1,1,0,1,0
akovaz,ækəvæz,ʔakovas,alvaiz,ælveɪz,ʔalvejjs,0,0.33333334,0.7826087,1,1,1,0.33333334,0.16666667,0.5,0.6666666,1,1,1,0.16666667,0.75,1,1,1,0.65833336,0.44230768,0.60833335,0.41153845,0,1,1,0,1,1,0,0,0,1,1,0,0,0
vesanoid,vɛsɐnɔɪd,vesanoid,stanozide,stænəzaɪd,stanozide,0,0.33333334,0.6969697,2,2,1,0.33333334,0.0,0.44444442,0.39999998,2,2,1,0.0,0.7058823,2,2,1,0.6690909,0.6490909,0.5018182,0.64181817,1,0,0,1,1,0,0,0,0,0,1,0,0,1
prilosec,pɹɪloʊsək,pɾilosek,pristiq,pɹɪstɪk,pɾistik,1,0.375,0.73333335,4,0,1,0.375,0.0,0.375,0.39999998,4,0,1,0.375,0.6896552,4,0,1,0.6363636,0.72,0.57454544,0.692,1,3,0,0,1,1,1,0,0,1,0,0,0,0
hyalgan,haɪælgən,hjalgan,halcion,hælʃən,halsjon,0,0.2857143,0.7916667,2,1,1,0.2857143,0.14285715,0.4285714,0.6,2,1,1,0.14285715,0.71428573,2,1,1,0.7125,0.6377778,0.72083336,0.5311111,0,1,1,1,0,1,1,0,0,1,1,0,1,0
sertraline,sɜːtɹəlaɪn,seɾtɾaline,setlakin,sɛtlɐkɪn,setlakin,0,0.3,0.8055556,2,0,2,0.2,0.0,0.6,0.5,2,0,2,0.2,0.7714286,2,0,2,0.74,0.58870965,0.6690909,0.58870965,2,2,0,1,1,0,1,0,1,1,1,0,0,1
