drug_name
09 sodchlorsaph
1 ceeplus
1000vc
2 gen
2 gen 750
2 gen scp
2 king
2 max
24 alkaline c
2baconil tts10
2baconil tts20
2baconil tts30
2tel 40
2tel 80
3 gen 1000
4 cough
4 life
4 quin
4 gen 1000
4 max
4chb
4cough
4drycof
4fever
4fever plus
4nazal
4plem expectorant
4rash
5 dextrose in 03 sodium chloride
a znc
anb
anb d5w
anb mannitol
ara
ara h
aarciflox 500
aarexone
aartmin 850
abacid
abanvex 25
abanvex 5
abanxl 300
abazine
abdin
abdopen
abetol
abevmy
abhay tox
abhayrab
abicof sg
abilify
abilify discmelt
abilify maintena
abingem
abira get
abiranat
abirasun
abiratred
abiravitae
abiron
abirone
abisin
abitrone
abixa
abizol easytab
abluent
abo 10
abo 5
abradex
abrexin
abrin
abrysvo
abstral
abydium
abymin
ac lyte
ac lyte 600
ac nex kola flavor
ac nex ph
ac nex ph forte
acaldin
acalka
acantha
acantha max
acantha plus
acc
acce d forte
acce c
acce clav
acce lora
acce mac
acce mycin
accebact
accecef
acceclar
accecoline
accediazine
accedome
accefixime
accefixime ds
acceketosol
accellac
acceluron
accemazole
accemide
accenicol
accepan
accephrine
accepime
access cee
accesszinc
accetaxime
accethrom
accetob
accetodex
accetran
accexime
accexone
accomin adult mixture for export only
accoquin
accord zoledronic 4
accurecin
aceamen 125
aceamen 250
aceamen 500
acecef
aceclav
aceclo x
aceclomed
acecof
acedocare
acedrine
acefin
aceflo
aceformin
aceget
acellbia
acemol
aceprofen
acerblock
acernix
acetadol
acetafen
acetaffein
acetagen
acetamol 125
acetamol 250
acetamol d
acetatree
acetimax
acetor
acetra
acetyl west
acetylcysteine
acetylflux
acetylnium
acetylnova
acetylseth
acetyphil
acevon
acf 100
acf plus
acholine
acicare
aciclogen
aciclonova
aciclospeed
acidem
acidnorm
acidstop
aciflam
aciflux
acifre
acifree
aciherpin
acilev
aciloc
acimed
acipraz
acipredex
aciprex
acipro
acitrate
acitrate plus
aclasta
aclav
aclav 625
aclir 400
aclir 800
aclitel
aclor
acne drying gel
acnecare
acneclear
acneclear c
acnetrex 10
acnetrex 20
acnex
acnoin gel
acnoin 10
acnoin t
acode 100
acode 150
acode 200
acode 50
acoreb
acotril
acresil 150
acresil 300
acrexon
acriptega
acrocef
acrolim 003
acrolim 01
acroxyn
actacil
actame
actarb 40
actarb 80
actazone
actcee plus
actein
acteine
acteinsaph 100
acteinsaph 200
acteinsaph 600
actemra
actib
actibile
acticare ob
actidin
actidin junior
actidin quik
actiflor
actilax
actilyse
actimax
actinerve forte
activarol
activederm
activent
activo gold
actonate
actos
actosmet
actranex
actrapid
actyl
actyl 100
acucip
acuflam
acugout
acuhes 130
acular
aculev
acumen
acumet
acumox
acunasyn
acura
acurium
acutin 20
acutocin
acuvis
acuzolid
acycla
acyclant
acyden
acyteine 600
acyvir
aczebri
ad mycin
ad c plus
adabur
adacel
adadoc
adalat gits 30
adalat gits 60
adamet
adamol
adamson
adana
adapasenz
adapine srfc
adaron
adcal
adcetris
addamel n
adeflo
adeflo mdi 125
adeflo mdi 250
adelanin
adenolex
adenox
adep
adesan
adfen
adfer
adfil 20
adiac
adisart
adivast
adivia
adivia met
adline
adlynx
admox
admoxel 20
admoxel 80
admoxel 120
adnerv
adnyst
adobal 75
adobec
adocin
adoclact
adolpan
adosal
adrecort
adrenin
adrepine
adreprez
adresone
adretam
adriblastina rd
adrim
adrycin
adrylex
aduscine
advagraf
advantan
advenol
advent c
advil
adzosin
aecin
aecipro
aecoline
aecor 100
aecor 250
aecys
aecys 600
aeferose
aefol
aefox
aefur
aeketo
aeknel
aeknil
aeknol
aekovan
aelac
aelox
aeloxinide
aelyte
aemadex
aemero 1000
aemero 500
aemol
aemol 1g
aenabi
aenor
aeoran
aeox
aepanpraz
aepara
aeperidone
aepime
aepisul 15
aepisul 750
aepotin
aepramide
aeprazole
aeprazole 20
aericure
aerinex
aero care
aero vent
aerobidol
aerokids
aerolac
aeromax
aeromycin 500
aeromycin s
aeronide
aerotamol
aerovent
aerox
aeruginox
aerum
aesopra
aetaxime
aetaz
aetram
aetricef
aetropsal
aevosha
aezar
aezec
aezinc
aezitam 225
aezitam 45
aezith
aezolin
afactone
afatin 40
afaxor 150
afaxor 75
afebral
afebral 1 5
afebral 6 12
afebrin tf
affocaine
affolac
affoline
affomine
affopro
afforvit
affozole
afinitor
afix
afixostat 40
afixostat 80
aflacin
afm
aforbes
aforvir
afree vanco 1000
afreedipine
afreemep
afreeprazole
afreezole
afrenda
africid
afunginal
agatiflox
age defying cream
aggrastat
aggravan
agilevo 500
agiolax
agletrium
aglic mr
agliza
agoram
agraplat
agua tim
aguadexa
aguamox
aguaper
aguasod
aguatob
agycin 500
agynapin
agyzide
aiiracan 16
aiiracan 8
aimafix
ainofil
airefix
airex
airforz
airlevo
airmaxx
airoclav 12
airokast
airtal
airvin
airway 2
airway 4
aitura cee
aizene
aizerone
aizet
aizet s
aizet s iv
aizinc
ajenacef
ajenafil
ajesart
ajezide
akeedex
aketon
akidin
akidol
akion
aklief
akneclin
akneclin plus
akniblaz
aknizol
akrifine
akrizine
akrizol
akticib
akubose 25
akubose 50
akucetam 1000
akucoline
akucoline 100
akucoline 1000
akucoline 200
akudiva 250 er
akudiva 500 er
akudiva 125 er
akuoflo
akupram 5
akurit z kid
akutim
akynzeo
akzen
alabsar
alagesic
alamin
alamin fez
alamin forte
alamin sn 5
alamine
alapain
alasth
alaxan
alaxan fr
alaxan fr for export only
alaxanr xtra for bnc
alaxpro
albendix
albestan
albez
albezol
albiomin
albothyl
albroxol
albulem
albumax
albunorm 20
albunorm 25
albunorm 5
alburel
alburx
albutein
albutein 25 solution
alcaine
alcavixin
alcefur
alcemax
alcera
alcid
alclav
alclav ds 457
alclav hospi
alclav kids
alclav neo
alco 70
alco ice
alco katinko
alco lavender
alco aid
alco aid plus
alcogen
alcoplus
alcorvit
alcorvit plus
alcoshield
alcoshield armour boost
alcoshield ethyl alcohol 70 solution armour boost
alcostar
alcotri
alcoxib
aldactin 25
aldactin 50
aldactone
aldara
aldatin
aldax
aldazole
aldezol
aldic
aldizar
aldomet
aldopiem
aldoxy
aldren 70
aldricin
aldromet
aldrovid
aldrox
aldrtz pau liniment
alduet
aldurazyme
alegysal
alendra
alendrifix
alendronic acid as alendronate sodium trihydrate colecalciferol vitamin d3
alendroxl
alercet 10
alerchek
alerest
alergiquit
alerid
alerix
alertmax
alesof 10
alesyd
aletagem 200
aletor
aleva
alevia b
alevio
alevo
alfacalcinol
alfadil xl
alfadine
alfaren
alfatam
alfoxin
alfree
alfree 30
alfree 60
algabin 75
alges
algesia
algezone
algicap
alicet
alimta
alisakit plaster
aliskati
alislergy
alivet iron
alixime
alixone
alizol
alizor
aljesik
aljesik iv
alka c
alka c mega
alka cee enhanced
alka zinc plus
alkacel
alkacent
alkacit
alkalinse
alkasure
alketo
allase
alleclear
allecur
allecur d
allecur p
allecur plus
aller cm
allerblock ct
allercef
allercet l
allerchem
allererase
allerex
allerfen
allergix
allergo
allergon
allergostop
allerheal
alleright
allerin syrup reformulated
allerive
allerjec
allerkast
allerkid
allerloupe
allermax
allermed
allermin
allernil
allerof
allerphen
allerphil
allerpro
allersaph 5
allerspeed
allerstop
allerta
allerta junior
allerteen
allertin
allertis
allertrene
allertrene plus
allerwell
allerzet
allerzine
alletrin
allezal
allisin
allor 10
allos
alltrex
allujen
allunol
alluprex
allurase
allutamide
alma
alma plus
alma s ct
almefen
almesar
almetica
almic
almodex
almopin
almoranz
almycin
alnepezil
alnix
alnix plus
alodine
alodine 10
alodine 5
aloegin v
alogil
aloket
alorex
alovell
aloxi
alozure
alphacaine
alphadin plus
alphagan p
alphanate
alphanine sd 500 iu
alphapres
alphill
alprazitel
alprazolam
alpremin
alprosant
alpurase
alpurin
alqoket
alrezin
alrif
alsea e
alsium
alsone
alsuni
altacar
altacef
altamax
althea
alto cee
alto zee plus
altocetyl
altocid
altoclav
altocom
altodiab
altoflox
altogest
altolax
altolevo
altolipid
altologue
altomox
altoprazole
altoprin
altosulin
altotram
altovast
altovit
altovox
altoxime
altoxustat 40
altozef
altozith
altozith md
altozol iv
altrazide
altrox 250
altrox 500
altussan
altuxerin
altuxermet
aluma
alumag plus
alumetz
alumin
aluminox
aluminum hydroxide magnesium hydroxide
alunbrig
alunlan
aluprin
aluzet
alvedon
alventil
alventil plus
alveovent
alvida m
alvofenib
alvogen
alvolaxus
alvolin
alvopress
alvotaz
alvovilda
alvovilda met
alvozol
alzancer
alzet
alzhemed 10
alzhemed 20
alzime
alzor
alzor ccb
alzor hct
alzubac 075
alzyl 500
amac cl
amacet
amaday
amadol
amair
amalvex
amamcla
amantin
amapine v 10 160
amapine v 5 160
amara
amara 4
amaramet
amaxin
amazar
amaziptin m 1000
ambacil 1
ambdart
ambesar prime
ambesyl
ambetria m
ambetria m 500
ambicaine
ambical
ambicef s
ambiceph
ambicipro
ambiclav
ambiclin
ambidazol
ambidine
ambidol
ambidol p
ambifit 120
ambiflex plus
ambiflu
ambiforge
ambifucef
ambigen
ambigrast
ambikacin
ambikacin 100
ambikacin 250
ambikacin 500
ambilin 1000
ambilin 500
ambilyte
ambimax
ambimax od
ambimide
ambimox
ambinerv
ambipen
ambiretic
ambisol 150
ambisol 300
ambisopro
ambisor
ambitocyn
ambitox
ambivent
ambivit k
ambixime
ambloc
amblomide
ambprazol
ambrazole
ambrocare
ambrocor
ambroday
ambroflam
ambrogen
ambrogold
ambrolem
ambrolyte
ambronx
ambroppex
ambrorex
ambrosel
ambroset
ambrosyn
ambrotor
ambrovit
ambrox
ambroxed
ambroxin
ambroxyl
ambtocyn
amburix 40
amburix 80
amcardis
amcefri
amcetam
amcetyl 600
amcitrol
amcivir
amclor
amdipine
amdozar
amebactam 15
ameciron
amectuss
amefocin
ameket
amelor
amena
ameniofer b
amero 1g
amero 500
amero iv
amerolac
ameustyn
ameval
ameval plus
amexi
amezolin
amfebb 40
amfebb 80
amflukonz
amfurox
amgathran 110
amgathran 150
amgathran 75
amgesic
amgram
ami levo
amiabel
amibazole
amicyn
amidozil
amidrex od 1
amidrex od 2
amidrex od 3
amidrex od 4
amiel
amigard
amiget
amika
amikacent 100
amikacent 250
amikacent 500
amikacide
amikacy 125
amikacy 250
amikacy 50
amikate
amiken
amiksan 125
amiksan 250
amiksan 50
aminica
aminocare
aminocent
aminoden
aminofast
aminofer fa
aminogen s
aminoket
aminoleban
aminolife
aminolog
aminomix peripheral
aminomyn
aminoplasmal b braun 10 e
aminoplasmal b braun 5 e
aminoral
aminosea 20
aminosea 200
aminosil
aminosol
aminosteril infant
aminosteril n hepa 8
aminotrene
aminoven
aminovit
aminowiz
aminozyre
amint 10
amio
amiobas
amiodal
amiodasaph
amiodex
amiphil
amiprasan
amiron
amisac 500
amisar 40
amisar plus
amisave 100
amisave 250
amisave 500
amity 40 10
amity 40 5
amity 80 10
amity 80 5
amivan
amixlo
amixol
amizide v
amizit
amizol
amkalon
amkaright
amko b plus
amkoclin
amkodine
amkofix
amkoflox
amkofol
amkohist
amkoket
amkomep
amkopros
amkotam
amkoteine
amkoxi
amkoxime
amkoxime 500
amkoxone
aml 10
aml 5
amlat 10 5
amlat 20 10
amlat 20 5
amlife
amlin
amlion 5
amlion 10
amlitor 5
amlitor forte
amlix
amlo med 10
amlo med 5
amlobes
amlobloc duo
amlocare
amlocare plus
amlocared
amlocor
amlocure
amlodac
amlodac 10
amlodac 5
amlodel 10
amlodel 5
amlodibloc
amlodine
amlodine hd
amlodine plus
amlodipex
amlodipine as besilate
amlodipine as besilate atorvastatin as calcium
amlodipine hd
amlodisan
amlodn
amlofar
amlog
amlog plus
amlogen
amloget 10
amloget 5
amlokard
amlokard reformulated
amlomed 5
amlomel
amlomel plus
amlon
amlonav
amlonav plus
amlopex
amlopigen
amlopin
amlopress
amlopril
amlopure 10
amlopure 5
amlorcil
amlorex
amlorh
amlosaph 10
amlosaph 5
amlosar
amlosave 10
amlosave 5
amlosil
amlosilate
amlosky
amlospeed 10
amlospeed 5
amlostan
amlosyl
amlotech
amlotel
amlothin
amlothix
amlotin
amlotitan
amlotraz
amlotrene
amlovac
amloval 160 10
amloval 1605
amloval 160 5
amloval 80 5
amlovart 160 10
amlovart 160 5
amlovic 10
amlovin
amloxar
amlozaar
amlozaar h
amlus 10
amlus 5
amlytrol
ammeltz
ammocil
ammuno z
amnique 5
amnique 10
amnor
amnoset
amnotic
amo 10
amo 5
amoclav
amocled
amocleed
amoiclav
amoltex
amopenil
amorex
amosartan q
amosartan q 5 100 20mg
amoxden
amoxicillin as trihydrate
amoxicollen
amoxiflox
amoxil
amoxil forte
amoxilab
amoxinex
amoxipen
amoxirife
amoxirite 500
amoxitrene
amoxivee
amoxollen 500
amoxollen 125
amoxsaph 10
amoxsaph 125
amoxsaph 250
amoxstan
amoxsur 500
amphizone
ampholip
ampholyn
amphonex
amphostal
amphot
amphoter iv
amphotret
ampi 1
ampi 500
ampibet
ampic 100
ampic 500
ampicare
ampicello
ampicelo 250
ampicelo 500
ampicent 1
ampicent 250
ampicent 500
ampicillin as sodium sulbactam as sodium
ampicin
ampiden
ampihil 15
ampihil 750
ampilev 750
ampimar
ampimax
ampinex plus
ampinix 15
ampinix 750
ampiral
ampirich
ampirilz
ampirixx
ampisaph 1000
ampisaph 250
ampisaph 500
ampisave 500
ampistar
ampistar 250
ampistar 500
ampistar s
ampisuden
ampisulmax
ampisultam
ampita
ampitam
ampitek 1
ampitek 250
ampitrex
ampivex
ampivin
ampix plus
amplacef
amplify 40 10
amplify 40 5
amplify 80 10
amplify 80 5
ampothin lip 50
amprazp
ampress
ampriwest
amprofem
amprox
amptrex
amracitam
amrid
ams
amsive
amso
amso d
amsoclar
amsocyn 300
amsocyn 600
amsodex
amsodol
amsolin
amsomax
amsomep
amsopen
amsowel
amsucillin
amsudime 15
amsudime 750
amsuduo
amsul
amsulduo
amsulvex
amsumed
amsutas
amtacil
amtacil wfi
amtaz
amtecxone
amtera bp
amtrac 1
amtram s
amtrix
amucogen
amucsol
amvasc be
amvasc plus
amvast
amvax b
amvic
amzef
amzellin 250
amzellin 500
amzol
amzur
anabit
anaferon
anagaling
anagic
anagic600
anagrapem
anagrebene
analac
analcid
analgen
analgic
analin
analmin
analmin 500
analou
anarica
anarom
anaseran
anasoma 1
anastragen
anastratech
anastro cell
anatero
anator
anaxol
anazdex
anazo
anazole
ancipro 500
anclotic
ancoline 500
andimycin
andiospec
andrazole
andrecep
andrex
androgel
andros
anebloc
anefor
anekcin
anektil
anemicon
anemicon plus
anemifer
anemles
anepro
aneptil
anerdic
anerobizol
anerocin
anesta
anesticaine
anesticaine spinal
anexa
anexxx 50
anezal
anfloxol
anfol
angel s flo
angel 100
angel 50
angeliq
angical
angicarv
angicee
angifuse
angihart
angimax
angimax mr
angimed
angimet
angioflo plus
angioflux
angiogen
angiogrel
angiolor
angiostan 150
angiostar 75
angioten
angiotrust
angiovert
angiozem
angipine 5
angirel mr
angisan mr
angisartan
angistad
angitec
angitrim
angivent
angivent od
anidep
anifer
anigex 35 mr
anin 50
anmotic
annaget
anodyne
anoion
anoro ellipta
anpheclor
anplat
ansed
anserm
ansimar
ansulmax
ansulmed
antamac
antamed
antamin
antan
antaxid
antergal
anthra 50
antica
anticiem
anticlop
anticof sr
antilergic
antiloupe
antiox
antiphlamine s
antispaz
antitet 1500 iu
antitet 3000 iu
antitet 5000 iu
antizoal
antrimet
anucare
anvil 200
anvil 400
anxiep
anxiol
anxipram 10
anxipram 20
anzal 500
anzal ds
anzaplus
anzar
anzatax
anzenil
anzepin 200
anzol
anzonat
anzoxim
ap pill mr
ap ap solution
apapol
apaxene
apcalvit
apcalvit plus
apcamphor
apcee
apcee for kids
apcee for teens
apcee plus
apcee sf
apcee1000
apcevit
apcibine
apciron forte
apciron plus
aperus f
aperusvit f
apetab
apfolic
apiban 5
apicog 25
apicog 5
apiden
apidra
apidra solostar
apiklot
apilone
apivra
apixa
apixa 5
apixanov 25
apixanov 5
apixar
apixastal 25
apixastal 5
apixero 25
apixero 5
apixmase 25
apixmase 5
apixprem
apizalife 25
apizalife 5
aplinc ors
aplinc ors orange
aplitax
apliva
aplixatin 100
aplixatin 50
aplofe
aplosyn otic
aplosyn 10
aplosyn 25
aploxin
aploxol
apo tin
apocartin 150
apocartin 450
apospagin 10000
apospagin 5000
apoxime
appcystein
appe grow
appebest
appebiron
appebon
appebon with iron
appebos plus
appebright
appecare
appeczin
appeczin plus
appefer s
appegain advance
appekids
appelife
appemin
apperon
apperozine
appesaph
appesaph plus
appetal
appetamine
appetamine ob
appetamine with iron
appetan
appetan s
appetanyx
appetanyx kids
appetason
appetens
appetite ob
appetite plus
appetite w iron syrup
appetite w iron
appetrex
appetrex capsule
appetrix
appettron
appevit
appexcef
appexon
appexon plus
appezinc
appimed
appixvan
applause
apps
apretude
aprevaz
aprezal
aprezin
aprezobas
aprinol 25000
aprinol 5000
aprotan
aprovasc
aprovel
aprunol
apsol
apsync
aptgesic
aptradol
aptradol plus
apuldon
apxia
apzanil
apzole
aqua inline
aquatabs
aquatabs flo
aquipta
arabitro
aradol
aralev
arasid 100
arasid 1000
arasid 500
arb
arb duo
arb plus
arb plus 80
arbisar 100
arbisar 50
arbix
arbixene 20
arbixene 5
arbloc
arbloc ccb
arbloc plus
archifar
arcicort
arcimet
arcoxia
arcoxia ac
ardilol
ardixtor
aremed i
arexvy
argesic
argicox
argifix
argixime
argixone odt
argyrex
aricept
aricept evess
arigen
arilan
arimidex
arinib
aripraz 10
aripraz 5
ariprazol
aristor 10
aristor 15
aristor 30
aristor 5
aritero 5
arixtra
arizil 10
arizil 5
arizole 10
arizole 15
arizopress
arizt
arkocin
arksone 250
armacarbo
armacetamol
armadart
armal
armalanic
armapoetin
armatrax
armaxenic
armazoline
armida
armocoline
arnil
arnopherin
arnoplet
aroflo 125
aroflo 250
aroflo 50
aroled
aromasin
aropen
aropotin
arostanil
arovan 80
arpimune
arpip
arpipo
arpivex 10
arpycom
artal
artal h
artazide
arten 150
arten 300
arten plus
arten plus 300
arteon
arteva 100
arteva 50
arteva plus
artheogrel
arthran
arthrimed 120
arthrimed 60
arthrimed 90
arthroxib
artiblemose
articure 100
articure 50
artinibsa
artivess
artivess plus
artosar 50
artrice 100
artrice 50
arunem
arvast 10
arvast 20
arvexone
arvezar
arvoxon
arya
arzi 200
asadin
asaprim
asbunyl plus
asbutol
ascanex
asco c
ascof
ascof ponkan flavor
ascof forte
ascof fortementhol flavor
ascof syrupstrawberry flavor
asconac
asconvita
asconvitazin
asconzee
ascopen
ascophil
ascor cee plus
ascor kid
ascor z plus
ascorb
ascorb z
ascorb zd3
ascorb c
ascorbex
ascorbic acid
ascorbic acid zinc
ascorbic acid zinc sulfate
ascorboost
ascorbtree
ascorbzee
ascorfed z
ascorfed z cap
ascorgen
ascorgen cap
ascorgen plus
ascorgen sf
ascorgen1000
ascorlex
ascormed z
ascorp cee
ascorsaph
ascorsaph d
ascorsaph na
ascorsaph plus
ascorsaph zee
ascorseth
ascortain
ascortain plus
ascortain z
ascortec
ascortin
ascorwell
ascotwin
ascozin
ascozin max
ascync
asenza plus
asetron
asflem
asfrenon
asfrenon br
asfrenon gf
asgard
ashexol 350
ashexol 300
ashxytin
asiclav 625
asimplex
askey
askey dt
aslic
asmacaire
asmaclear
asmafree
asmagen
asmagone
asmagone plus
asmahist
asmair
asmaler
asmalex
asmalin
asmalox
asmamed
asmamed plus
asmaplex
asmasar
asmatrol
asomex
aspen
aspicard
aspicare
aspidon
aspidon os
aspifast
aspifend
aspigard
aspigen
aspilets
aspilets ec
aspimix
aspipro
aspirin
aspishield
aspitor
aspizen
asplex 80
asporelix
assics
astagen
astapro
astat
astedart
astenzyd
asterol
astezol
asthakler
asthalin
asthavert 125
asthma z
asthmagen
asthonide
asthromed
astiget
astimol
astorv
astrodal
astrofen
astrol
astrozole
astymin 3
asulbac
asvent
asvent plus
asvimol
asyclav
atadar
atadin
atagon
atajec
atasart
atavir 150
atavir 300
atectura breezhaler
ategra
atenol 100
atenol 50
atenova 100
atenova 50
atenugen
atenurix
ateron
ateron 250
aterone 500
atgas
athero
athrodim
atirroxan
atocard
atomix
atonamis
atopitar
ator 10
ator 20
ator 40
atorbet
atorcad
atorcura
atoren
atorfibrate
atorgard
atorgen
atorimax 20
atorimax 80
atorix 20
atorlee
atorlipids 20
atorlipids 40
atormax
atormed 10
atormed 20
atornac k
atorphil
atorpina 20
atorpina 40
atorpine
atorpro
atorsam f
atorsaph
atorsaph 40
atorsaph 80
atorsave 20
atorsave 40
atorschwartz
atorschwartz 10
atorseth 40
atorsky 20
atorstan
atorvacor 10
atorvas
atorvas 40
atorvast 20
atorvast natrapharm
atorvastatin as calcium
atorvex 10
atorvex 20
atorwin
atorzet
atorzet 40
atosar 10
atosar 20
atovas
atra cure
atracare star
atracor
atracure
atracursaph
atrasyl
atravell
atrex
atrhos
atriax plus
atrium
atroact 20
atrodix
atropan
atrophil
atropos
atrosol
atrovent
atrozole
atstat am
attentrol 18
attentrol 25
attentrol 40
attentrol 60
attex
atussin
atv 10
atv plus
aubrex
audiwax
audra
audra 160
auget
augimox
augmeed 2285 ds
augmeed 3125
augmeed 457
augmentin
augmentin es
augmentin ds
augmenz plus
augmin 125
augmin 250
augmin 457
augmin 625
aumox
aura plus
auralgan for export only
aurantin
aurinol
auroblue
aurocaine
aurocort
aurohex
auromide plus
auromitaz 1000
auromox
auropred
aurora
aurosol
aurotazevan
aurozapine od 15
aurozapine od 45
ausfotaxime
auspidol
auspimin ob
auxibrum
auxinerv
avadox
avagard
avamab
avamax
avamys
avance
avancomycin 1
avancomycin 500
avant guard
avaprel
avaprel plus
avarin
avarix 20
avas
avastin
avastoph
avatan
avator
avax
avaxim 80
avazart
avazol
avelox
averkaz
avertin
aviar
aviclav
avicon
aviden
avirenz
avirin
avisaph
avistra
avitam 225
avitam 45
avitor
avodart
avodial
avolac
avonza
avsar
avtorex
awanay
awanay forte
axa levo
axa zole f
axachrome
axacip
axadex d5
axadex dns
axagyl
axal
axalav
axalav 457
axalid
axaline 30
axamet iv
axapara
axapor
axaring rl
axasoar 25
axasoar 5
axatob
axatol 20
axazolid
axbin
axcestrine
axe brand red flower oil
axe brand universal oil
axebac
axecrest 750
axefen
axefime
axekon 100
axella reformulated
axemef
axemol iv
axenate
axepron
axera
axerich
axet
axflam
axialith
axiban
axibin
axiclav
axillin
axiomace
axitro
axivir
axmaclear
axmaxolv
axmel
axol xl
axonedu
axonefree
axonex
axqin
axtrin
aysosaph ge60
aza 500
azacord
azacytin
azalan
azamol
azarga
azartan
azartan plus
azbunide
azcon
azcor c
azcorbee
azcorbee plus
azcore
azcornate
azcorvit
azcotil
azeecor
azeecor 200
azeemycin
azeesaph
azeeya 500
azela
azelon
azemax
azenc
azendole
azent
azentin
azentrate
azepril
azfed
azfloz
azi 200
azi 500
aziagio 200
azibial 500
azibloc
azicare
azicass
azifast 500
azik
aziken
azilide dt
azilide 250
azilide 500
azilife 500
azilin
azilo
azimac
azimed
azimef
azimentia
azimex 500
azimin
azimit
azimor
azipak
aziprime
azipro
aziqo
aziro 500
azisaph
azisaph 500
azisaph d
azitan
azitas
azith z
azithcare
azithcor
azithrobet
azithrocass
azithrocirc
azithrodyn
azithrom
azithromax
azithromycin as dihydrate
azithromycin as monohydrate
azithronova
azithrosave
azithrospeed
azithrx
azithva
azithwell
azitobact 500
azitritec
aziv 500
azivid 500
azkorznc
azlo
azmicin
azmont
azmyn iv
aznc
azo 500
azolex
azolv
azomac
azoni
