diovex,silvex
disolf,disolv
diucard,diucare
dobucard,dobucare
dobucard,sobicard
dobukon,dobumin
dobumed,dobunex
doburx,dobuts
docemed,rocemed
docket,docmet
dolex,folex
dolovit,folivit
dolowin,dolpain
domicef,romicef
domped,domper
dompedone,domperone
dorugem,xorugen
dostan,rostan
doxicon,fixicon
doxid,doxof
doximed,doxinex
doxin,roxon
duocard,duocare
duokaz,duomax
duomax,sulmax
dutam,rytam
dutam,xytam
dutimax,eurimax
dutimax,furimax
dutimax,sitimax
dylax,xylax
dypotin,xylotin
dyrolac,eurolac
ebaz,enaz
ecopenem,exipenem
efrox,etrox
elbacef,elbacet
elicef,elifer
elifer,epifed
emixon,emoxin
eocet,rocef
eodex,eprex
epiven,epogen
eposid,eposis
erlonib,erlonov
ertax,retax
esphrine,sephrine
estolax,extopax
etiriz,etirox
eucet,rucef
eurocof,eurocor
eurofen,eytofen
evimox,scimox
evofix,evorox
ezcef,racef
ezmol,ramol
famcin,vancin
farafol,faratop
febumax,febunaz
fedpain,ferpain
fedstatin,reestatin
feloxa,reloxa
femzol,temsol
fencid,fenxid
fenlex,temlex
fenocare,venocare
fenodix,fenorix
fenogen,renogen
fenok,genom
fenok,tenol
fenolex,venolex
feofer,geofer
ferazol,retazol
ferlin,ferlum
ferus,feruz
fexil,vexil
finmod,vinmox
finox,ginox
fitex,virex
fixal,fozal
fixime,roxime
fixotin,foxitin
flamacid,flamacox
flamacid,flamavid
flavix,flavos
flemex,formex
flocip,floxil
flosazin,floxazin
flox,glix
flumed,flumex
flux,glix
foladin,folaxin
folicard,folicare
folicon,folivin
folid,gopid
folifer,foliget
foligen,volugen
folimed,folimer
folimed,ropimed
fopen,ropen
forosa,toroda
fosap,fozal
foxitin,goxitin
frexim,trexin
fucidin,fuvixin
fucozole,ricozole
fudion,fusion
fura,vira
furazone,fyrazine
furic,furix
furoden,furoxen
furogem,furogen
furomed,furonex
furosam,furosan
fusedex,tusedex
fusinox,fuximox
gablin,gavlin
garda,varsa
gavixime,gavixone
gavixone,havidone
gazo,tazi
gefox,vecox
gemtabin,gentavin
gemzole,genzole
genplatin,henplatin
gentam,ventam
genvit,tenvir
genxone,genzone
geoxime,geoxone
geoxime,groxime
geoxone,groxone
giclav,goclav
gicox,vicod
giomox,guimox
gixime,gixone
gixone,goxone
glitab,goutab
glucosil,glucosol
godex,gosec
godine,gofime
gofixime,goroxime
gogesic,higesic
gogesic,togesic
govent,hivent
govir,tovit
goxib,voxib
goxiclav,voxiclav
granon,tramon
groxime,groxone
groxime,trixime
grozole,trizole
haidone,haixone
haxim,haxon
hepavid,hepavir
herbakid,herbakof
hyocin,hyovin
hyogen,hyphen
iadin,isdin
ibles,inlex
ican,ivab
ican,oxan
icon,ocin
icox,ifos
imixime,unixime
imox,inox
inoflox,uniflox
ipramide,koramide
irbovel,irnocel
irigen,urogen
irimed,orimed
isonid,isonix
isoprim,isoptin
itiflox,otoflox
izon,ozin
jaczole,maxzole
januvia,januvis
jaxime,maxine
jazcef,maxcef
jensar,kenzar
jivastatin,novastatin
kairoxib,kairoxon
kelxime,kepxime
keroxim,meroxin
ketadol,ketarol
ketadol,megadol
ketero,letero
keto,meto
ketohab,ketonav
ketojun,ketomin
ketolex,mefolex
ketolon,metokon
ketomax,meromax
ketonob,ketonov
ketophil,merophil
ketorex,metorex
ketosan,ketoxam
ketotech,merotech
ketromine,metromine
ketroxen,metroden
ketroxen,metrozen
kezo,mezo
kintax,lintaz
klinfar,klontar
kodapine,losapine
kontra,montra
korcef,lorcef
korcef,morcet
korvast,lorfast
kzole,mzole
lamisil,pamisol
lanvell,panvell
largexime,largexone
latadin,patadin
levefer,leveget
levobact,levpbact
levocin,levofin
levocit,levocof
levomed,levomef
levoxid,levoxus
levoxus,levozys
linax,pimax
lipidem,lopiden
lisof,lizod
locefa,loxeva
lodine,lorine
lofenax,lotemax
loracid,lorafix
lorago,lorato
lordam,lotram
lorex,oprex
losaget,losaver
losart,loxart
lox,ooc
masopine,mazipine
maxicor,maxifor
maxine,mazine
md,ns
mecid,mefic
medicip,medicol
medicol,medofol
mediflam,mexiflam
medofol,mesofol
medox,meroz
medryl,nefryl
medsef,medzef
medtadine,medtaxone
medtazime,mertazine
medwin,mefein
medxil,medzol
mefecid,mefecod
mefejal,mefenak
mefidin,meforin
megadol,megafol
melsartan,neosartan
merostar,metostad
metoden,netofen
metvex,nervex
metvit,nervit
micardis,nicardia
micargen,nicargen
miconex,mucinex
micoson,mucosin
midol,muxol
montekaz,montemax
moxiden,noxifen
mucocet,mucover
mucolem,mycokem
muconil,myconil
mucopro,nicopro
multivex,muprivex
mupiban,mupihab
mupiriv,muporig
natrasol,natrazol
neofixime,neoroxime
nervita,nervitz
neurokem,neurolem
nicardia,nicarduz
njectxime,njectxone
nocid,nocof
novafime,novafine
novaxone,novazine
novixon,novoxin
olazin,plaxin
olxarin,olzadin
omed,omee
omepram,omeptam
omeprob,omepron
omesar,omezar
oradine,oraxime
oranol,pranol
orimed,primex
osteomeg,osteomet
parafer,paraver
parajaz,paramax
parasan,paraxam
physicxime,physicxone
piotaz,piptaz
plasil,plazol
platicin,platixon
plaxime,plaxone
praxid,prazic
pregab,pregav
primadol,promadol
primol,prinol
primudine,primuxime
prolix,propix
purogen,pytogen
rabecid,ranexid
rabem,raben
ramec,ranex
ramol,tamol
ranicid,ranivic
raxem,tazem
raxidine,tazidine
recox,refix
regicee,regifer
regixime,regizine
retapraz,terapraz
retasar,retazar
retasone,retaxone
retaxime,retaxone
retazidime,retazidine
retazidine,terazidine
retracef,terracef
rhinil,rhinol
rifazid,rodazid
risfar,rostar
risgen,rosgen
ristac,rostad
rivida,rivoxa
rociem,roxiem
rocunova,roxinova
rostad,rostar
rostar,roztat
rubicin,rubifon
rylin,tylin
salbubam,salbuvan
salbucam,salbuvan
salbufed,salbutec
salbumed,salbunex
saltaz,saptaz
salumed,zalimed
santecef,santecet
saphtram,saphtran
sef3gen,zefegen
sefoxib,sefozin
serocid,zerocid
seteine,zetrine
sevo,zefo
sevorane,sevotane
siclav,xiclav
sifrol,sucrol
simet,xomet
sitamet,zitamet
sitidime,sitixime
sitisone,sitizine
sitixime,sitizine
sitixime,sufixime
solben,zolgen
solbina,zolvina
solif,zolid
solucent,soluvent
somex,ximex
sorolac,zirolac
spedra,speeda
sudomas,zudonas
sulmax,supmac
supragab,supratab
syclovir,zyclovir
sycor,xycod
sycor,zydor
sydencin,wudencin
tamlo,tamol
tazicon,tazocin
tazidime,tazidine
tazim,tazin
tazivex,tazovex
tazobak,tazobal
tazobet,tazoget
tazodec,tazofed
tazofed,tazovee
tazofed,tazovex
telgio,telgip
telmibet,telmiget
temolon,tenolon
tgxime,tgxone
timocare,timovate
tobracid,tobracor
tral,trap
tramacid,tramavic
tramed,tranex
tramid,tramir
tramid,tranix
tranex,tranez
triascef,triaxcef
triaxone,triazone
triclav,truclav
trifam,tritam
trifam,trivan
trimex,trunex
triodone,trioxone
triolev,triplec
trivox,trucox
trixime,trizine
trizon,trozin
trucox,trufix
uniclox,uniflox
unigan,univan
unigan,unogab
uniket,unomet
unixime,unixone
urica,urixa
ursokon,ursolin
valtir,valtor
vancocym,vancocyn
vancokin,vancolon
velodin,veloxin
venis,venox
vitacal,vitacap
vitadex,vitares
vitagin,vitatin
volugen,voluven
vorix,voriz
xalvos,zalvos
xiax,ziac
xiflox,ziflox
ximex,zinex
ximvast,zimvast
xiprox,ziprox
xomet,xonet
xyfol,zydol
xylotin,zylotin
zadec,zafex
zefadin,zefaxim
zefcid,zeffix
zefimed,zefumed
zefufed,zefuvee
zelin,zepim
zentek,zentro
zilden,zoldem
zinacef,zinafer
zincap,zindal
zincare,zinfate
zinex,zobex
zithrix,zithrox
zithrocin,zithroxin
zoliget,zologet
zolmed,zolnex
zopil,zopip
zydip,zydol
